School district,Reopening Instructional Model,First Day of School,District Plan,,
Abington Heights SD,Remote,9/9/2020,https://www.ahsd.org/abington-heights-return-to-school-announcements-84280d57,,
Abington SD,Remote,9/8/2020,https://www.abington.k12.pa.us/coronavirus-resource-center/,,
Albert Gallatin Area SD,Remote,9/8/2020,http://www.agasd.org/schoolnewsfor2020.aspx,,
Aliquippa SD,Blended,8/31/2020,http://www.quipsd.org/,,
Allegheny Valley SD,Remote,8/24/2020,https://www.avsdweb.org/announcements/re-opening-of-schools-information,,
Allegheny-Clarion Valley SD,In-Person,8/31/2020,https://www.acvsd.org/site/default.aspx?PageType=14&DomainID=4&ModuleInstanceID=73&PageID=1&ViewID=C83D46AC-74FE-4857-8C9A-5922A80225E2&IsMoreExpandedView=True&GroupByField=&GroupYear=0&GroupMonth=0&Tag=,,
Allentown City SD,Remote,9/8/2020,https://www.allentownsd.org/,,
Altoona Area SD,Blended,9/8/2020,https://www.aasdcat.com/apps/pages/index.jsp?uREC_ID=1688369&type=d&pREC_ID=1865271,,
Ambridge Area SD,Blended,8/31/2020,https://www.ambridge.k12.pa.us/?page_id=4190,,
Annville-Cleona SD,Blended,8/31/2020,https://www.acschools.org/domain/592,,
Antietam SD,Remote,8/26/2020,https://www.antietamsd.org/Page/1144,,
Apollo-Ridge SD,Remote,9/8/2020,https://www.apolloridge.com/,,
Armstrong SD,In-Person,9/8/2020,https://www.asd.k12.pa.us/apps/pages/index.jsp?uREC_ID=417168&type=d&pREC_ID=1977876&tota11y=true,,
Athens Area SD,In-Person,8/27/2020,http://www.athensasd.k12.pa.us/SchoolSafety.aspx,,
Austin Area SD,In-Person,8/26/2020,https://www.austinsd.net/,,
Avella Area SD,In-Person,8/26/2020,https://www.avellasd.org/Content2/192,,
Avon Grove SD,Remote,8/31/2020,https://www.avongrove.org/district/administration/director-of-pupil-services/return-to-school,,
Avonworth SD,Blended,9/1/2020,http://www.avonworth.k12.pa.us/protected/ArticleView.aspx?iid=5IAIGB&dasi=3222,,
Bald Eagle Area SD,In-Person,8/25/2020,https://www.beasd.org/,,
Baldwin-Whitehall SD,Blended,9/3/2020,https://www.bwschools.net/our-district/backtobetter,,
Bangor Area SD,Blended,9/2/2020,https://bangorsd-my.sharepoint.com/personal/curranti_bangorsd_org/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fcurranti%5Fbangorsd%5Forg%2FDocuments%2FWebsite%2FDistrict%2F2020%2D2021Re%2DEntryPlan8%2D11%2D20%2D2FINAL%2Epdf&parent=%2Fpersonal%2Fcurranti%5Fbangorsd%5Forg%2FDocuments%2FWebsite%2FDistrict&originalPath=aHR0cHM6Ly9iYW5nb3JzZC1teS5zaGFyZXBvaW50LmNvbS86YjovZy9wZXJzb25hbC9jdXJyYW50aV9iYW5nb3JzZF9vcmcvRVRWbER2bXdNMWhHdjJqalRCdW94QTBCSGpEbVVXNXlPSmprWG55UmVwYUlPZz9ydGltZT10T3BoZ3RZXzJFZw,,
Beaver Area SD,Blended,8/31/2020,https://www.basd.k12.pa.us/,,
Bedford Area SD,Blended,8/20/2020,https://www.bedfordasd.org/,,
Belle Vernon Area SD,Blended,8/31/2020,https://www.bellevernonarea.net/crisismanagement,,
Bellefonte Area SD,In-Person,8/25/2020,https://www.basd.net/,,
Bellwood-Antis SD,In-Person,8/31/2020,http://www.blwd.k12.pa.us/,,
Bensalem Township SD,Remote,9/8/2020,https://www.bensalemsd.org/apps/news/article/1248271,,
Benton Area SD,In-Person,8/27/2020,https://www.bentonsd.org/cms/One.aspx?portalId=424373&pageId=13405577,,
Bentworth SD,In-Person,8/24/2020,https://www.bentworth.org/apps/pages/index.jsp?uREC_ID=1731450&type=d&pREC_ID=1979170,,
Berlin Brothersvalley SD,In-Person,9/1/2020,https://www.bbsd.com/,,
Bermudian Springs SD,Blended,8/24/2020,https://www.bermudian.org/covid-19,,
Berwick Area SD,Blended,8/20/2020,https://www.berwicksd.org/Domain/585,,
Bethel Park SD,Remote,9/1/2020,https://www.bpsd.org/protected/ArticleView.aspx?iid=6Y3PABB&dasi=2I0,,
Bethlehem Area SD,Blended,8/31/2020,https://www.basdschools.org/reopening,,
Bethlehem-Center SD,Blended,9/9/2020,https://drive.google.com/file/d/1JlI6YT_h4MAYndY4ewmrzqRiPl6vC_rW/view,,
Big Beaver Falls Area SD,Blended,8/31/2020,https://www.tigerweb.org/Page/5848,,
Big Spring SD,Blended,9/8/2020,https://www.bigspringsd.org/domain/691,,
Blackhawk SD,In-Person,9/8/2020,http://www.bsd.k12.pa.us/,,
Blacklick Valley SD,Blended,9/8/2020,https://drive.google.com/file/d/1G8dlhjVDQWO4SZVpD6iUeFiImlXezSYu/view,,
Blairsville-Saltsburg SD,Blended,9/8/2020,https://www.b-ssd.org/home/reopening,,
Bloomsburg Area SD,In-Person,8/24/2020,https://www.bloomsd.org/Domain/804,,
Blue Mountain SD,In-Person,9/8/2020,https://www.bmsd.org/schoolreopening,,
Blue Ridge SD,Blended,8/31/2020,https://www.brsd.org/files/user/1/file/BRSD Phased School Reopening Health and Safety Plan Template Final.pdf,,
Boyertown Area SD,Blended,8/31/2020,https://www.boyertownasd.org/domain/1773,,
Bradford Area SD,In-Person,8/24/2020,https://www.bradfordareaschools.org/cms/One.aspx?portalId=401528&pageId=29497837,,
Brandywine Heights Area SD,Blended,8/31/2020,https://sites.google.com/bhasd.org/bhasd2020reopeningplan/introduction,,
Brentwood Borough SD,Blended,8/31/2020,https://www.bb-sd.com/protected/ArticleView.aspx?iid=5IAP02&dasi=3UGY,,
Bristol Borough SD,Remote,9/9/2020,https://www.bbsd.org/news.asp?id=332,,
Bristol Township SD,Remote,9/8/2020,https://bristoltwpsd.org/,,
Brockway Area SD,In-Person,8/27/2020,http://www.brockway.k12.pa.us/documents/8_18_20_Update.pdf,,
Brookville Area SD,In-Person,8/26/2020,http://www.basd.us/2020-2021-reopening-information-9d99c5f4,,
Brownsville Area SD,Blended,9/8/2020,https://b7bdfd85-5054-49ab-900c-3cf8bb20e92c.filesusr.com/ugd/c81c3a_68793b3be0af4200bc1ddc84c0232de4.pdf,,
