ID,B,C,Value
Northern Tioga SD,In-Person,8/26/2020,District Plan
Northern York County SD,Blended,9/8/2020,District Plan
Northgate SD,Remote,8/31/2020,District Plan
Northwest Area SD,Blended,8/31/2020,District Plan
Northwestern Lehigh SD,Blended,8/31/2020,District Plan
Pine Grove Area SD,Blended,8/27/2020,District Plan
Norwin SD,Blended,8/31/2020,District Plan
Octorara Area SD,Remote,9/8/2020,District Plan
Pine-Richland SD,Blended,9/1/2020,District Plan
Salisbury-Elk Lick SD,In-Person,8/31/2020,District Plan
Oil City Area SD,Blended,9/1/2020,District Plan
Penns Valley Area SD,In-Person,8/25/2020,District Plan
Pennsbury SD,Remote,9/8/2020,District Plan
Pequea Valley SD,In-Person,8/25/2020,District Plan
Perkiomen Valley SD,Remote,9/8/2020,District Plan
Peters Township SD,In-Person,8/24/2020,District Plan
Philadelphia City SD,Remote,9/2/2020,District Plan
Philipsburg-Osceola Area SD,In-Person,8/26/2020,District Plan
Phoenixville Area SD,Remote,8/24/2020,District Plan
Towanda Area SD,In-Person,8/31/2020,District Plan
Saucon Valley SD,In-Person,8/24/2020,District Plan
Sayre Area SD,In-Person,8/25/2020,District Plan
Parkland SD,Blended,8/31/2020,District Plan
Pen Argyl Area SD,Blended,8/31/2020,District Plan
Penn-Delco SD,Remote,9/8/2020,District Plan
Penn Hills SD,Blended,9/8/2020,District Plan
Penn Manor SD,Blended,8/31/2020,District Plan
Penn-Trafford SD,Blended,8/27/2020,District Plan
Penn Cambria SD,Blended,9/8/2020,District Plan
Penncrest SD,In-Person,9/2/2020,District Plan
Pennridge SD,Blended,9/2/2020,District Plan
Penns Manor Area SD,In-Person,8/31/2020,District Plan
Tredyffrin-Easttown SD,Remote,9/8/2020,District Plan
South Butler County SD,Blended,8/31/2020,District Plan
South Eastern SD,In-Person,8/31/2020,District Plan
South Fayette Township SD,In-Person,9/2/2020,District Plan
Southern Huntingdon County SD,Blended,8/26/2020,District Plan
South Middleton SD,Blended,9/8/2020,District Plan
Valley Grove SD,Blended,9/1/2020,District Plan
Tri-Valley SD,Blended,8/24/2020,District Plan
Trinity Area SD,Blended,9/8/2020,District Plan
Tulpehocken Area SD,Blended,9/8/2020,District Plan
Valley View SD,Remote,8/26/2020,District Plan
Wallenpaupack Area SD,In-Person,9/8/2020,District Plan
Wallingford-Swarthmore SD,Remote,8/31/2020,District Plan
Warren County SD,In-Person,9/1/2020,District Plan
Riverside SD,Blended,9/9/2020,District Plan
Riverview SD,Remote,8/27/2020,District Plan
Rochester Area SD,In-Person,8/27/2020,District Plan
Forest City Regional SD,Blended,9/14/2020,District Plan
Riverside Beaver County SD,In-Person,9/1/2020,District Plan
Johnsonburg Area SD,Blended,9/8/2020,District Plan
Shamokin Area SD,In-Person,8/24/2020,District Plan
Shanksville-Stonycreek SD,In-Person,9/1/2020,District Plan
Juniata County SD,In-Person,9/8/2020,District Plan
Juniata Valley SD,Blended,8/26/2020,District Plan
Laurel SD,In-Person,8/31/2020,District Plan
Sharon City SD,Blended,8/26/2020,District Plan
Radnor Township SD,Remote,9/8/2020,District Plan
Rockwood Area SD,In-Person,9/1/2020,District Plan
Rose Tree Media SD,Remote,8/31/2020,District Plan
Laurel Highlands SD,Blended,8/31/2020,District Plan
Sharpsville Area SD,In-Person,9/8/2020,District Plan
Shenandoah Valley SD,Blended,8/31/2020,District Plan
Shikellamy SD,In-Person,8/26/2020,District Plan
Shippensburg Area SD,Blended,9/8/2020,District Plan
Pleasant Valley SD,Blended,8/31/2020,District Plan
Plum Borough SD,Blended,9/2/2020,District Plan
Pocono Mountain SD,Remote,8/31/2020,District Plan
Purchase Line SD,Blended,9/8/2020,District Plan
Saint Clair Area SD,In-Person,8/31/2020,District Plan
Grove City Area SD,In-Person,8/31/2020,District Plan
Quaker Valley SD,In-Person,9/8/2020,District Plan
Quakertown Community SD,Blended,9/14/2020,District Plan
Salisbury Township SD,Remote,9/8/2020,District Plan
Pittston Area SD,Blended,9/9/2020,District Plan
Pittsburgh SD,Remote,8/31/2020,District Plan
Keystone SD,In-Person,8/26/2020,District Plan
Keystone Central SD,In-Person,9/1/2020,District Plan
Lehighton Area SD,Blended,9/8/2020,District Plan
Lewisburg Area SD,In-Person,8/24/2020,District Plan
Ligonier Valley SD,Blended,8/31/2020,District Plan
Line Mountain SD,In-Person,8/24/2020,District Plan
Littlestown Area SD,Blended,8/19/2020,District Plan
Lower Dauphin SD,Blended,8/31/2020,District Plan
